Alpha-Numeric Code ,Station name ,Opening ,Construction names ,Abbreviation,,
 TE4  ,Springleaf ,春叶 ,ஸ்பிரிங்லீஃவ் ,2020,Springleaf ,TBA
 TE5  ,Lentor ,伦多 ,லென்ட்டோர் ,2020,Lentor ,TBA
 TE6  ,Mayflower ,美华 ,மேஃபிளவர் ,2020,Mayflower ,TBA
 TE7  ,Bright Hill ,光明山 ,பிரைட் ஹில் ,2020,Sin Ming ,TBA
 TE8  ,Upper Thomson ,汤申路上段 ,அப்பர் தாம்சன் ,2020,Upper Thomson ,TBA
 TE9  CC17  ,Caldecott ,加利谷 ,கால்டிகாட் ,2020 ,Caldecott ,CDT
 TE10  ,Mount Pleasant ,快乐山 ,மவுண்ட் பிளசண்ட் ,2021,Mount Pleasant ,TBA
 TE11  DT10  ,Stevens ,史蒂芬 ,ஸ்டீவன்ஸ் ,2021 ,Stevens ,SVS
 TE12  ,Napier ,纳比雅 ,நேப்பியர் ,2021,Napier ,TBA
 TE13  ,Orchard Boulevard ,乌节林荫道 ,ஆர்ச்சர்ட் பொலிவார்ட் ,2021,Orchard Boulevard ,TBA
 TE14  NS22  ,Orchard ,乌节 ,ஆர்ச்சர்ட் ,2021 ,Orchard ,ORC
 TE15  ,Great World ,大世界 ,கிரேட் வோர்ல்ட் ,2021,Great World ,TBA
 TE16  ,Havelock ,合乐 ,ஹவ்லாக் ,2021,Havelock ,TBA
 TE17  EW16  NE3  ,Outram Park ,欧南园 ,ஊட்ரம் பார்க் ,2021 ,Outram Park ,OTP
 TE18  ,Maxwell ,麦士威 ,மெச்ஸ்வெல் ,2021,Maxwell ,TBA
 TE19  ,Shenton Way ,珊顿道 ,ஷென்ட்டன் வே ,2021,Shenton Way ,TBA
 TE20  NS27  CE2  ,Marina Bay ,滨海湾 ,மரீனா பே ,2021 ,Marina Bay ,MRB
 TE21  ,Marina South ,滨海南 ,மரீனா சவுத் ,2021,Marina South ,TBA
 TE22  ,Gardens by the Bay ,滨海湾花园 ,கரையோரப் பூந்தோட்டங்கள் ,2021,Gardens by the Bay ,TBA
 TE23  ,Tanjong Rhu ,丹戎禺 ,தஞ்சோங் ரூ ,2023,Tanjong Rhu ,TBA
 TE24  ,Katong Park ,加东公园 ,காத்தோங் பார்க் ,2023,Katong Park ,TBA
 TE25  ,Tanjong Katong ,丹戎加东 ,தஞ்சோங் காத்தோங் ,2023,Amber ,TBA
 TE26  ,Marine Parade ,马林百列 ,மரீன் பரேட் ,2023,Marine Parade ,TBA
 TE27  ,Marine Terrace ,马林台 ,மரீன் டெரஸ் ,2023,Marine Terrace ,TBA
 TE28  ,Siglap ,实乞纳 ,சிக்லாப் ,2023,Siglap ,TBA
 TE29  ,Bayshore ,碧湾 ,பேஷோர் ,2023,Bayshore ,TBA
 TE30  ,Bedok South ,s勿洛南 ,பிடோக் சவுத் ,2024,Bedok South ,TBA
 TE31  DT37  ,Sungei Bedok ,双溪勿洛[3] ,சுங்கை பிடோக் ,2024 ,Sungei Bedok ,TBA
